Timestamp,Op-Count,,Byte-Count,,Avg-ResTime,,Avg-ProcTime,,Throughput,,Bandwidth,,Succ-Ratio,,Version-Info,,
,read,write,read,write,read,write,read,write,read,write,read,write,read,write,Min-Version,Version,Max-Version
12:20:37,2718,665,173952000,42560000,11.76,11.9,11.75,11.9,542.64,132.76,34728769.13,8496884.24,100%,100%,0,0,0
12:20:42,2737,647,175168000,41408000,11.75,11.97,11.75,11.96,546.96,129.29,35005714.31,8274849.94,100%,100%,1,1,1
12:20:47,2716,682,173824000,43648000,11.72,11.88,11.72,11.88,542.79,136.3,34738667.67,8723119.89,100%,100%,2,2,2
12:20:52,2707,680,173248000,43520000,11.76,11.89,11.76,11.89,540.81,135.86,34612028.48,8694970.58,100%,100%,3,3,3
12:20:57,2726,676,174464000,43264000,11.71,11.91,11.71,11.91,544.47,135.02,34845902.24,8640996.54,100%,100%,4,4,4
12:21:02,2663,699,170432000,44736000,11.84,12.03,11.84,12.02,532.14,139.68,34056733.62,8939220.49,100%,100%,5,5,5
12:21:07,2719,637,174016000,40768000,11.87,12.07,11.87,12.07,543.2,127.26,34764978.85,8144667.46,100%,100%,6,6,6
12:21:12,2735,635,175040000,40640000,11.82,12.01,11.81,12.01,546.62,126.91,34983387.64,8122404.31,100%,100%,7,7,7
12:21:17,2715,653,173760000,41792000,11.82,11.99,11.82,11.99,542.39,130.45,34713170.34,8348777.82,100%,100%,8,8,8
12:21:22,2705,656,173120000,41984000,11.85,12.03,11.85,12.02,540.41,131.06,34586056.21,8387541.59,100%,100%,9,9,9
12:21:27,2673,691,171072000,44224000,11.83,11.98,11.83,11.98,534.2,138.1,34188800.46,8838113.16,100%,100%,10,10,10
12:21:32,2678,695,171392000,44480000,11.8,11.99,11.8,11.99,534.91,138.83,34234552.34,8884918.24,100%,100%,11,11,11
12:21:37,2711,664,173504000,42496000,11.8,11.97,11.8,11.96,541.65,132.66,34665290.9,8490452.53,100%,100%,12,12,12
12:21:42,2705,673,173120000,43072000,11.78,12.03,11.78,12.03,540.33,134.44,34581394.02,8604116.39,100%,100%,13,13,13
12:21:47,2744,654,175616000,41856000,11.73,11.83,11.73,11.83,548.21,130.66,35085547.17,8362160.85,100%,100%,14,14,14
