Timestamp,Op-Count,,Byte-Count,,Avg-ResTime,,Avg-ProcTime,,Throughput,,Bandwidth,,Succ-Ratio,,Version-Info,,
,read,write,read,write,read,write,read,write,read,write,read,write,read,write,Min-Version,Version,Max-Version
10:00:17,2683,691,171712000,44224000,11.78,11.95,11.78,11.95,535.69,137.97,34284119.3,8829774.39,100%,100%,0,0,0
10:00:22,2680,686,171520000,43904000,11.81,11.98,11.81,11.98,535.37,137.04,34263635.89,8770588.7,100%,100%,1,1,1
10:00:27,2747,624,175808000,39936000,11.8,12.02,11.8,12.01,549.07,124.72,35140564.71,7982331,100%,100%,2,2,2
10:00:32,2700,683,172800000,43712000,11.79,11.89,11.79,11.89,539.15,136.38,34505723.05,8728582.3,100%,100%,3,3,3
10:00:37,2700,658,172800000,42112000,11.87,12.04,11.87,12.04,539.01,131.36,34496753.35,8407352.62,100%,100%,4,4,4
10:00:42,2687,688,171968000,44032000,11.83,11.89,11.83,11.89,536.63,137.4,34344161.73,8793317.27,100%,100%,5,5,5
10:00:47,2716,685,173824000,43840000,11.71,11.9,11.71,11.9,542.6,136.85,34726641.95,8758291.72,100%,100%,6,6,6
10:00:52,2724,657,174336000,42048000,11.78,11.95,11.78,11.95,543.96,131.2,34813187.61,8396650.29,100%,100%,7,7,7
10:00:57,2722,663,174208000,42432000,11.77,11.9,11.77,11.9,543.81,132.46,34804030.62,8477408.87,100%,100%,8,8,8
10:01:02,2704,691,173056000,44224000,11.74,11.89,11.73,11.89,540.19,138.04,34572376.92,8834729.39,100%,100%,9,9,9
10:01:07,2724,670,174336000,42880000,11.71,11.97,11.71,11.96,544.13,133.84,34824377.64,8565639.99,100%,100%,10,10,10
10:01:12,2760,625,176640000,40000000,11.78,11.91,11.78,11.91,551.24,124.83,35279486.15,7989014.13,100%,100%,11,11,11
10:01:17,2708,702,173312000,44928000,11.68,11.85,11.68,11.85,541.12,140.26,34631924.48,8976871.62,100%,100%,12,12,12
10:01:22,2734,671,174976000,42944000,11.71,11.91,11.71,11.91,546.05,134.02,34947110.5,8577034.49,100%,100%,13,13,13
10:01:27,2699,674,172736000,43136000,11.81,11.93,11.81,11.93,539.36,134.69,34518840.67,8619956.89,100%,100%,14,14,14
10:01:32,2722,652,174208000,41728000,11.82,11.94,11.82,11.94,543.83,130.26,34805307.93,8336616.67,100%,100%,15,15,15
10:01:37,2706,671,173184000,42944000,11.81,11.92,11.81,11.92,540.56,134.05,34595861.29,8579064.1,100%,100%,16,16,16
10:01:42,2720,657,174080000,42048000,11.79,11.96,11.79,11.96,543.43,131.26,34779527.63,8400723.09,100%,100%,17,17,17
10:01:47,2708,674,173312000,43136000,11.77,11.97,11.77,11.97,540.89,134.61,34616999.26,8615292.35,100%,100%,18,18,18
10:01:52,2677,693,171328000,44352000,11.82,11.94,11.82,11.93,534.77,138.44,34225465.72,8859906.98,100%,100%,19,19,19
10:01:57,2741,641,175424000,41024000,11.75,12.02,11.75,12.01,547.86,128.12,35062757.9,8199812.45,100%,100%,20,20,20
10:02:02,2728,657,174592000,42048000,11.75,12,11.75,12,545.01,131.26,34880906.17,8400561.48,100%,100%,21,21,21
10:02:07,2682,701,171648000,44864000,11.77,11.92,11.76,11.92,535.88,140.06,34296164.46,8964054.9,100%,100%,22,22,22
10:02:12,2708,651,173312000,41664000,11.86,11.99,11.86,11.99,540.94,130.04,34619858.71,8322722.47,100%,100%,23,23,23
10:02:17,2683,694,171712000,44416000,11.81,11.9,11.81,11.9,535.98,138.64,34302959.82,8872985.89,100%,100%,24,24,24
10:02:22,2674,681,171136000,43584000,11.87,11.98,11.86,11.98,534.4,136.1,34201536.9,8710293.44,100%,100%,25,25,25
10:02:27,2711,660,173504000,42240000,11.83,11.91,11.83,11.91,541.68,131.88,34667619.02,8440280.83,100%,100%,26,26,26
10:02:32,2725,645,174400000,41280000,11.82,12.01,11.82,12.01,544.39,128.85,34840839.04,8246704.52,100%,100%,27,27,27
10:02:37,2671,696,170944000,44544000,11.84,11.93,11.84,11.93,533.78,139.09,34162177.73,8902073.3,100%,100%,28,28,28
10:02:42,2678,696,171392000,44544000,11.82,11.93,11.81,11.93,534.94,139.03,34236158.96,8898237.44,100%,100%,29,29,29
10:02:47,2701,678,172864000,43392000,11.79,11.92,11.79,11.91,539.48,135.41,34526415.17,8666490.96,100%,100%,30,30,30
10:02:52,2742,642,175488000,41088000,11.76,11.97,11.76,11.97,547.88,128.28,35064188.66,8209907.2,100%,100%,31,31,31
10:02:57,2715,660,173760000,42240000,11.81,11.95,11.81,11.95,542.45,131.87,34717027.3,8439791.09,100%,100%,32,32,32
