Timestamp,Op-Count,,Byte-Count,,Avg-ResTime,,Avg-ProcTime,,Throughput,,Bandwidth,,Succ-Ratio,,Version-Info,,
,read,write,read,write,read,write,read,write,read,write,read,write,read,write,Min-Version,Version,Max-Version
14:44:13,2773,679,177472000,43456000,11.59,11.48,11.59,11.48,553.56,135.55,35427936.86,8674969.33,100%,100%,0,0,0
14:44:18,2740,717,175360000,45888000,11.59,11.47,11.59,11.46,546.95,143.12,35004615.52,9159967.55,100%,100%,1,1,1
14:44:23,2794,653,178816000,41792000,11.61,11.42,11.61,11.42,558.51,130.53,35744415.33,8354040.89,100%,100%,2,2,2
14:44:28,2706,748,173184000,47872000,11.57,11.48,11.57,11.47,540.87,149.5,34615472.18,9568132.22,100%,100%,3,3,3
14:44:33,2731,711,174784000,45504000,11.62,11.5,11.62,11.5,545.5,142.02,34912267.99,9089210.73,100%,100%,4,4,4
14:44:38,2742,692,175488000,44288000,11.67,11.48,11.67,11.48,547.67,138.22,35051102.04,8845932.02,100%,100%,5,5,5
14:44:43,2736,711,175104000,45504000,11.6,11.5,11.6,11.49,546.63,142.05,34984076.16,9091237.47,100%,100%,6,6,6
14:44:48,2756,690,176384000,44160000,11.6,11.55,11.6,11.54,550.45,137.82,35229083.4,8820219.66,100%,100%,7,7,7
14:44:53,2751,691,176064000,44224000,11.63,11.5,11.63,11.5,549.65,138.06,35177635.35,8835974.97,100%,100%,8,8,8
14:44:58,2774,667,177536000,42688000,11.62,11.54,11.62,11.54,554.08,133.23,35460974.47,8526639.99,100%,100%,9,9,9
14:45:03,2778,671,177792000,42944000,11.59,11.51,11.59,11.51,554.92,134.04,35514700.16,8578489.88,100%,100%,10,10,10
14:45:08,2820,632,180480000,40448000,11.59,11.49,11.58,11.49,563.54,126.3,36066303.03,8082905.09,100%,100%,11,11,11
14:45:13,2734,717,174976000,45888000,11.58,11.5,11.58,11.5,546.53,143.33,34977637.13,9173095.4,100%,100%,12,12,12
14:45:18,2803,658,179392000,42112000,11.54,11.56,11.54,11.55,559.92,131.45,35835150.77,8412557.46,100%,100%,13,13,13
14:45:23,2755,674,176320000,43136000,11.65,11.58,11.65,11.57,550.49,134.68,35231402.06,8619241.06,100%,100%,14,14,14
14:45:28,2723,697,174272000,44608000,11.7,11.51,11.7,11.5,543.81,139.2,34804061.16,8908539.99,100%,100%,15,15,15
14:45:33,2800,685,179200000,43840000,11.47,11.41,11.47,11.41,559.78,136.95,35825619.16,8764521.22,100%,100%,16,16,16
14:45:38,2713,712,173632000,45568000,11.66,11.6,11.65,11.59,542.47,142.36,34717819.09,9111236.74,100%,100%,17,17,17
14:45:43,2725,684,174400000,43776000,11.74,11.6,11.74,11.6,544.42,136.66,34843146.97,8746275.63,100%,100%,18,18,18
14:45:48,2786,635,178304000,40640000,11.69,11.56,11.69,11.55,556.72,126.89,35630370.98,8121272.5,100%,100%,19,19,19
14:45:53,2722,707,174208000,45248000,11.66,11.55,11.66,11.55,543.46,141.16,34781664.27,9033947.31,100%,100%,20,20,20
14:45:58,2714,699,173696000,44736000,11.72,11.58,11.72,11.58,542.65,139.76,34729574.18,8944823.54,100%,100%,21,21,21
14:46:03,2804,620,179456000,39680000,11.68,11.55,11.68,11.54,560.49,123.93,35871444.97,7931681.62,100%,100%,22,22,22
14:46:08,2756,666,176384000,42624000,11.68,11.6,11.68,11.6,550.61,133.05,35239227.47,8515374.27,100%,100%,23,23,23
14:46:13,2731,700,174784000,44800000,11.65,11.54,11.65,11.53,545.82,139.9,34932187.07,8953848.46,100%,100%,24,24,24
14:46:18,2766,649,177024000,41536000,11.7,11.61,11.7,11.61,552.55,129.65,35363052.08,8297679.54,100%,100%,25,25,25
14:46:23,2765,652,176960000,41728000,11.69,11.52,11.69,11.51,552.86,130.37,35383117.79,8343563.05,100%,100%,26,26,26
14:46:28,2746,664,175744000,42496000,11.74,11.57,11.73,11.57,548.58,132.66,35108997.45,8489952.89,100%,100%,27,27,27
14:46:33,2739,668,175296000,42752000,11.74,11.62,11.74,11.62,547.05,133.42,35011040.74,8538679.74,100%,100%,28,28,28
14:46:38,2723,696,174272000,44544000,11.7,11.61,11.7,11.6,544.29,139.12,34834365.51,8903695.58,100%,100%,29,29,29
14:46:43,2704,724,173056000,46336000,11.66,11.55,11.66,11.55,540.19,144.64,34572356.39,9256762.33,100%,100%,30,30,30
14:46:48,2724,679,174336000,43456000,11.76,11.59,11.76,11.59,544.23,135.66,34830767.41,8681946.15,100%,100%,31,31,31
14:46:53,2785,643,178240000,41152000,11.66,11.5,11.66,11.5,556.65,128.52,35625806.11,8225167.45,100%,100%,32,32,32
14:46:58,2751,675,176064000,43200000,11.67,11.59,11.67,11.59,549.72,134.88,35181986.01,8632463.98,100%,100%,33,33,33
14:47:03,2776,655,177664000,41920000,11.66,11.5,11.66,11.49,554.42,130.82,35483019.23,8372381.6,100%,100%,34,34,34
14:47:08,2719,692,174016000,44288000,11.73,11.57,11.73,11.57,543.29,138.27,34770361.86,8848960.8,100%,100%,35,35,35
14:47:13,2729,691,174656000,44224000,11.68,11.65,11.68,11.64,545.32,138.08,34900790.08,8836936.11,100%,100%,36,36,36
14:47:18,2776,683,177664000,43712000,11.56,11.48,11.56,11.48,554.72,136.48,35501811.41,8734670.01,100%,100%,37,37,37
14:47:23,2735,684,175040000,43776000,11.7,11.6,11.7,11.6,546.34,136.64,34965987.44,8744772.26,100%,100%,38,38,38
14:47:28,2805,681,179520000,43584000,11.47,11.46,11.47,11.45,560.48,136.08,35870664.24,8708904.37,100%,100%,39,39,39
14:47:33,2801,686,179264000,43904000,11.47,11.41,11.47,11.41,559.61,137.06,35815244.2,8771539.51,100%,100%,40,40,40
14:47:38,2792,664,178688000,42496000,11.57,11.5,11.57,11.5,557.65,132.62,35689325,8487862.25,100%,100%,41,41,41
14:47:43,2711,723,173504000,46272000,11.65,11.55,11.65,11.54,541.62,144.44,34663605.12,9244419.75,100%,100%,42,42,42
14:47:48,2726,691,174464000,44224000,11.71,11.6,11.71,11.6,544.4,137.99,34841505.41,8831669.29,100%,100%,43,43,43
14:47:53,2745,678,175680000,43392000,11.68,11.58,11.68,11.58,548.37,135.45,35095379.49,8668648.09,100%,100%,44,44,44
14:47:58,2771,669,177344000,42816000,11.62,11.51,11.62,11.51,553.45,133.62,35421088.55,8551554.59,100%,100%,45,45,45
14:48:03,2737,669,175168000,42816000,11.74,11.67,11.74,11.66,546.81,133.66,34995927.15,8554053.48,100%,100%,46,46,46
14:48:08,2756,668,176384000,42752000,11.68,11.53,11.68,11.53,550.77,133.5,35249392.82,8543872.2,100%,100%,47,47,47
14:48:13,2734,698,174976000,44672000,11.66,11.51,11.66,11.51,546.43,139.51,34971560.74,8928398.72,100%,100%,48,48,48
14:48:18,2734,679,174976000,43456000,11.71,11.64,11.71,11.64,545.85,135.56,34934146.28,8675941.79,100%,100%,49,49,49
14:48:23,2773,669,177472000,42816000,11.63,11.49,11.63,11.49,553.63,133.57,35432460.25,8548177.07,100%,100%,50,50,50
14:48:28,2775,634,177600000,40576000,11.73,11.58,11.73,11.58,554.54,126.69,35490753.14,8108473.38,100%,100%,51,51,51
14:48:33,2726,688,174464000,44032000,11.7,11.62,11.7,11.62,544.58,137.44,34852954.71,8796118.71,100%,100%,52,52,52
14:48:38,2712,683,173568000,43712000,11.79,11.65,11.78,11.64,542.16,136.54,34698220.36,8738270.39,100%,100%,53,53,53
14:48:43,2744,665,175616000,42560000,11.75,11.59,11.75,11.59,547.85,132.77,35062582.93,8497468.23,100%,100%,54,54,54
14:48:48,2735,664,175040000,42496000,11.77,11.59,11.77,11.58,546.31,132.63,34963589.86,8488214.56,100%,100%,55,55,55
14:48:53,2735,690,175040000,44160000,11.67,11.51,11.67,11.5,546.56,137.9,34979522.77,8825442.71,100%,100%,56,56,56
14:48:58,2760,673,176640000,43072000,11.64,11.53,11.64,11.52,551.54,134.49,35298525.85,8607644.83,100%,100%,57,57,57
14:49:03,2745,687,175680000,43968000,11.66,11.52,11.66,11.52,548.63,137.31,35112334.15,8787661.76,100%,100%,58,58,58
14:49:08,2547,656,163008000,41984000,11.72,11.66,11.71,11.66,542.34,139.68,34709452.79,8939738.47,100%,100%,59,59,59
