Timestamp,Op-Count,,Byte-Count,,Avg-ResTime,,Avg-ProcTime,,Throughput,,Bandwidth,,Succ-Ratio,,Version-Info,,
,read,write,read,write,read,write,read,write,read,write,read,write,read,write,Min-Version,Version,Max-Version
09:31:09,2731,681,174784000,43584000,11.7,11.62,11.7,11.62,545.53,136.03,34914223.06,8705934.26,100%,100%,0,0,0
09:31:14,2743,652,175552000,41728000,11.74,11.68,11.74,11.67,548.14,130.29,35080827.19,8338292.01,100%,100%,1,1,1
09:31:19,2728,688,174592000,44032000,11.7,11.54,11.7,11.54,544.95,137.43,34876598.28,8795815.41,100%,100%,2,2,2
09:31:24,2744,685,175616000,43840000,11.67,11.55,11.67,11.55,548.14,136.83,35081168.04,8757412.93,100%,100%,3,3,3
09:31:29,2736,662,175104000,42368000,11.76,11.67,11.76,11.67,546.76,132.3,34992701.48,8466906.91,100%,100%,4,4,4
09:31:34,2770,654,177280000,41856000,11.67,11.59,11.67,11.59,553.67,130.72,35434741.61,8366173.21,100%,100%,5,5,5
09:31:39,2740,666,175360000,42624000,11.74,11.65,11.73,11.65,547.54,133.08,35042524.83,8517317.78,100%,100%,6,6,6
09:31:44,2776,671,177664000,42944000,11.6,11.49,11.6,11.49,554.68,134.07,35499257.06,8580456.54,100%,100%,7,7,7
09:31:49,2695,710,172480000,45440000,11.77,11.59,11.77,11.59,538.21,141.79,34445216.84,9074570.09,100%,100%,8,8,8
09:31:54,2738,670,175232000,42880000,11.73,11.64,11.73,11.64,546.94,133.84,35004159.44,8566019.8,100%,100%,9,9,9
09:31:59,2749,670,175936000,42880000,11.7,11.6,11.7,11.6,549.21,133.86,35149384.45,8566831.83,100%,100%,10,10,10
09:32:04,2731,686,174784000,43904000,11.69,11.59,11.69,11.59,545.89,137.12,34936993.6,8775459.89,100%,100%,11,11,11
09:32:09,2774,631,177536000,40384000,11.74,11.61,11.74,11.61,554.55,126.14,35491306,8073111.13,100%,100%,12,12,12
09:32:14,2734,683,174976000,43712000,11.71,11.62,11.71,11.61,546.19,136.46,34956028.99,8733506.09,100%,100%,13,13,13
09:32:19,2729,681,174656000,43584000,11.73,11.67,11.73,11.66,545.03,136.01,34882184.01,8704804.65,100%,100%,14,14,14
09:32:24,2708,691,173312000,44224000,11.77,11.69,11.77,11.69,541.09,138.07,34629486.93,8836397.13,100%,100%,15,15,15
09:32:29,2776,632,177664000,40448000,11.74,11.66,11.74,11.66,554.26,126.19,35472507.67,8075858.43,100%,100%,16,16,16
09:32:34,2740,654,175360000,41856000,11.77,11.65,11.77,11.65,547.77,130.74,35057086.82,8367653.38,100%,100%,17,17,17
09:32:39,2682,730,171648000,46720000,11.73,11.65,11.72,11.64,535.94,145.88,34300147.82,9336402.57,100%,100%,18,18,18
09:32:44,2712,698,173568000,44672000,11.72,11.62,11.72,11.61,541.83,139.45,34677227.22,8924975.43,100%,100%,19,19,19
09:32:49,2696,712,172544000,45568000,11.73,11.66,11.73,11.66,538.7,142.27,34477043.16,9105022.39,100%,100%,20,20,20
09:32:54,2708,700,173312000,44800000,11.74,11.61,11.74,11.6,540.66,139.75,34602024.66,8944160.21,100%,100%,21,21,21
09:32:59,2758,661,176512000,42304000,11.7,11.56,11.7,11.56,551.13,132.09,35272419.2,8453610.43,100%,100%,22,22,22
09:33:04,2755,674,176320000,43136000,11.68,11.53,11.68,11.53,550.04,134.57,35202316.03,8612248.27,100%,100%,23,23,23
09:33:09,2767,666,177088000,42624000,11.66,11.54,11.66,11.53,552.92,133.08,35386658.07,8517364.28,100%,100%,24,24,24
09:33:14,2766,652,177024000,41728000,11.69,11.68,11.69,11.68,552.62,130.26,35367863.57,8336629,100%,100%,25,25,25
09:33:19,2747,669,175808000,42816000,11.71,11.59,11.71,11.59,548.95,133.69,35132556.55,8556218.99,100%,100%,26,26,26
09:33:24,2730,690,174720000,44160000,11.7,11.6,11.7,11.6,545.18,137.79,34891694.57,8818771.03,100%,100%,27,27,27
09:33:29,2741,673,175424000,43072000,11.73,11.63,11.73,11.62,547.29,134.37,35026258.75,8599897.1,100%,100%,28,28,28
